微博id,微博正文,发布时间,点赞数,转发数,评论数,热度值,关键短语
Kf4LnprdE,#汶川地震13周年#【13年了，你好吗？】“无论你在哪里，我都要找到你。”13年过去了，每当熟悉的旋律响起，我们总会想起那段记忆。生死不离，生生不息。汶川，我们永远不会忘记。#汶川记忆MV# #512# 人民日报的微博视频  ,2021-05-12,443432,1030140,32813,35.94427304204966,旋律响起#SPLIT#汶川地震#SPLIT#汶川记忆#SPLIT#生死不离#SPLIT#熟悉旋律
Kf4rdbVxm,【#汶川地震13周年#，发条微博，祝福汶川】2008年，14时28分04秒，8.0级地震，近7万人遇难，一段永远不能忘却的记忆。我们缅怀生命的逝去，也铭记危急时刻的生死救援、灾难面前的守望相助。13年了，我们见证了废墟上的重新站立，也见证了中国力量勇毅前行。今天，缅怀逝者，祝福汶川！#512#  [组图共9张] 原图 ,2021-05-12,286496,176842,27604,33.704387576300135,祝福汶川#SPLIT#力量勇毅#SPLIT#勇毅前行#SPLIT#忘却记忆#SPLIT#汶川地震
Kf1OjAC61,【#汶川地震13周年#，永不忘却的记忆】缅怀逝者，勇毅前行。  原图 ,2021-05-12,395235,12821110,52499,39.11307550695021,勇毅前行#SPLIT#忘却记忆#SPLIT#永不忘却#SPLIT#汶川地震#SPLIT#缅怀逝者
Kf08l9w5V,【#警方通报成都四十九中学生坠亡#：家属对调查结论无异议】据@平安成华 ，2021年5月9日18时49分，我区49中学发生一起在校学生高坠死亡事件。接报后，公安机关高度重视，赓即组织警力到达现场，发现死者系林某某（男，16岁，49中学高二学生）并开展调查处理工作。经现场勘验、走访调查、调阅监控、电子数据勘验，提取书证、尸体检验，认定林某某系高坠死亡，排除刑事案件。5月11日下午，公安机关已依法将调查结论告知林某某家属，家属对调查结论无异议。公安机关对林某某深表惋惜。同时呼吁公民不信谣、不传谣，共同营造清朗网络空间，维护良好社会秩序。 原图 ,2021-05-11,354373,5203,33787,30.58802838869882,调查结论#SPLIT#高坠#SPLIT#结论无异议#SPLIT#不信谣#SPLIT#中学生坠亡
KdMOgd3ml,【为自己加油！因为，#我就是中国#】没有人可以永远年轻，我可以，因为年轻的心永远年轻。年轻是一往无前，直面一次又一次失败，再比失败多一次站起来。一代又一代的相信，才有今天的自信；不被世界改变，才能改变世界。我相信我可以成为我相信的样子，#我是什么样子中国就是什么样子#！一起加油！  http://t.cn/A6cBuu2x ,2021-05-03,282466,4762100,13190,35.88279310644623,永远年轻#SPLIT#年轻一往无前#SPLIT#才有自信#SPLIT#直面失败#SPLIT#没有人永远
KcWVlgWxN,【#王源在人民日报撰文#：爱国的少年心，总是相通的】少年英雄小兵张嘎、“生的伟大死的光荣”的刘胡兰、放牛娃王二小、小萝卜头宋振中、送鸡毛信的海娃……无数个为国为民的青春之“我”，成就了青春中国。我时常觉得，即使身处不同年代，但爱国的少年心，总是相通的。我时常问自己，如果身处那样的时代，会不会做出同样的人生选择？我的答案是肯定的。爱国，始终是青春的底色。 http://t.cn/A6c8EPPz ,2021-04-28,316772,1107962,18297,34.972824671098024,爱国少年心#SPLIT#总是相通#SPLIT#为国为民青春#SPLIT#光荣刘胡兰#SPLIT#刘胡兰放牛娃
Kc2H8e5bW,【转发这条微博，点亮你的“环保之心” 人人都可以成为#地球守护者# 】今天是#世界地球日#，@人民日报 @自然资源部 联合微博共同倡议：践行环保行动、支持环保项目、贡献环保创意…通过点滴改变，守护我们赖以生存的家园。今天起至10月25日，关注#地球守护者#，解锁更多环保主题直播，了解更多地球知识，守护共同的星球！ 原图 ,2021-04-22,37898,56843,12304,30.346047399698563,地球守护#SPLIT#世界地球日#SPLIT#人人成为#SPLIT#倡议践行#SPLIT#守护赖以生存
KadGzhl1I,"【市场监管总局依法对阿里巴巴集团控股有限公司在中国境内网络零售平台服务市场实施""二选一""垄断行为作出行政处罚】2020年12月，市场监管总局依据《反垄断法》对阿里巴巴集团控股有限公司（以下简称阿里巴巴集团）在中国境内网络零售平台服务市场滥用市场支配地位行为立案调查。 #阿里巴巴集团被行政处罚#　　市场监管总局成立专案组，在扎实开展前期工作基础上，对阿里巴巴集团进行现场检查，调查询问相关人员，查阅复制有关文件资料，获取大量证据材料；对其他竞争性平台和平台内商家广泛开展调查取证；对本案证据材料进行深入核查和大数据分析；组织专家反复深入开展案件分析论证；多次听取阿里巴巴集团陈述意见，保障其合法权利。本案事实清楚、证据确凿、定性准确、处理恰当、手续完备、程序合法。 　　经查，阿里巴巴集团在中国境内网络零售平台服务市场具有支配地位。自2015年以来，阿里巴巴集团滥用该市场支配地位，对平台内商家提出“二选一”要求，禁止平台内商家在其他竞争性平台开店或参加促销活动，并借助市场力量、平台规则和数据、算法等技术手段，采取多种奖惩措施保障“二选一”要求执行，维持、增强自身市场力量，获取不正当竞争优势。 　　调查表明，阿里巴巴集团实施“二选一”行为排除、限制了中国境内网络零售平台服务市场的竞争，妨碍了商品服务和资源要素自由流通，影响了平台经济创新发展，侵害了平台内商家的合法权益，损害了消费者利益，构成《反垄断法》第十七条第一款第（四）项禁止“没有正当理由，限定交易相对人只能与其进行交易”的滥用市场支配地位行为。 　　根据《反垄断法》第四十七条、第四十九条规定，综合考虑阿里巴巴集团违法行为的性质、程度和持续时间等因素，2021年4月10日，市场监管总局依法作出行政处罚决定，责令阿里巴巴集团停止违法行为，并处以其2019年中国境内销售额4557.12亿元4%的罚款，计182.28亿元。同时，按照《行政处罚法》坚持处罚与教育相结合的原则，向阿里巴巴集团发出《行政指导书》，要求其围绕严格落实平台企业主体责任、加强内控合规管理、维护公平竞争、保护平台内商家和消费者合法权益等方面进行全面整改，并连续三年向市场监管总局提交自查合规报告。 原图 ",2021-04-10,4137821,29441,42855,33.90641897186549,平台商家#SPLIT#市场监管总局#SPLIT#中国境内#SPLIT#服务市场#SPLIT#实施选
K9iUTBxGe,【今日#清明#，一起缅怀英烈】他们诠释了英雄的真正含义，#他们的牺牲应当被铭记#。记住那些闪亮的名字，向所有坚守和奉献致敬！#你记得我我就活着#  [组图共9张] 原图 ,2021-04-04,216139,52603,10746,30.935961141152166,缅怀英烈#SPLIT#英烈诠释#SPLIT#记住闪亮#SPLIT#奉献致敬#SPLIT#记得活着
K9dCk3rp3,【#你记得我我就活着#|#烈士的告白你听见了吗#】“无论你在哪，当风从耳边吹过，云从头顶飘过，那便是我来看你。看你过得比我当年想象的还要好，看这盛世如我所愿，这盛世里，有你有我。你记得我，我就活着。”缅怀英烈，更铭记他们为之流血牺牲的伟大理想。清明，送朵，致敬英烈！#为烈士寻亲#  http://t.cn/A6cUvqJj ,2021-04-03,1640193,17856715,94113,41.03144592327369,云从头顶#SPLIT#告白听见#SPLIT#头顶飘过#SPLIT#活着烈士#SPLIT#流血牺牲伟大
